,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Eyl,SO,77.81,light rain,7.9803,49.8164,EYL AQUE SYSTEM
169,Cabo San Lucas,MX,87.1,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
170,Yaan,NG,74.95,overcast clouds,7.3833,8.5667,
171,Muriwai Beach,NZ,66.96,scattered clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
173,Barra Velha,BR,75.09,broken clouds,-26.6322,-48.6847,Vila Alaíde Praia Hotel
176,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
178,Clarence Town,AU,66.94,broken clouds,-32.5833,151.7833,River Downs Cottage
179,Lagoa,PT,65.79,light rain,39.05,-27.9833,Casa Das Faias
180,San Juan,AR,80.02,clear sky,-31.5375,-68.5364,Hotel Provincial
181,Faanui,PF,78.89,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
184,Beloha,MG,65.8,clear sky,-25.1667,45.05,
185,Acarau,BR,79.54,clear sky,-2.8856,-40.12,castelo pizzaria
187,Surman,LY,73.69,overcast clouds,32.7567,12.5716,عمارة السفير
188,Port Augusta,AU,65.12,clear sky,-32.5,137.7667,Majestic Oasis Apartments
190,Bredasdorp,ZA,61.43,light rain,-34.5322,20.0403,Bredasdorp Country Manor
191,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
192,Pauini,BR,77.36,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
193,Hasaki,JP,70.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
194,Dutlwe,BW,71.42,overcast clouds,-23.9833,23.9,
195,Caceres,ES,66.7,overcast clouds,39.522,-6.3748,Ahc Hoteles
196,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
197,Isangel,VU,78.46,clear sky,-19.55,169.2667,Tanna Lodge
198,Dingle,PH,77.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
199,Lagos,NG,77.05,overcast clouds,6.5833,3.75,
201,Messina,IT,67.19,clear sky,38.1933,15.5497,Hotel Touring
202,Kapit,MY,72.84,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
203,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
205,Broken Hill,AU,61.12,clear sky,-31.95,141.4333,Royal Exchange Hotel
